text,target
@ZinaTrainer @Gerrigge Thank you ,1
For #followfriday: some newbies! @fsuwrestler222 @BobbyFronrath @pablowbest  @cgazzia Welcome them! They need some Twitter lovin'. ,1
mmkay. so monday=johns last day end of courses this week. then john graduates then exams. then summer ,1
@HOTTVampChick no  no more unless I win irvine tix or break down and go to another concert,0
@foxandfriends  Gmornin to you guys from Chicago ,1
@MikeOrmond ignore last tweet... vs2010 beta1 available on MSDN on 18/05   http://blogs.zdnet.com/microsoft/?p=2769,1
do my facebook quiz!  see how well you no me     http://bit.ly/27Jzh,1
eaten way too much junk food. feel as if i'm about to explode! not good ,0
@CashCapone now cash u kno I'm not a hater.....jus upset I don't have my update yet ,0
Just spent a frustrating 3hrs getting 3.0. Does anyone know how to get my apps back in line? They are scattered across 11 pages ,0
"LiLo might be looking for a british best friend, i wanted to be Paris's But they said i was to young  boohoo",0
i made jiffypop because we have a gas stove here. only to find out it is loaded in trans- and saturated fats  i opted for triscuts.,0
dang i thought the Jonas Brother's were done performing but there was more. Dang i'm an idiot.  i guess youtube.,0
school over in 4 more days no more teachers!! Grad on wednesday PUMPED// crystal palace tomorrow going to be fun ,1
...And they cannot.  I wish i was in Las Vegas with my sister. I miss her.,0
@DIVACANDICEM - Candice i dont mean to bother you but im really sad that u got released! ,0
I really want to see Boys Like Girls tonight! ,0
@jemappellekim it all got a bit messy. When are you back in Melb? Just about to board flight to Adelaide ,0
@jendavis I understand! I've put 70k on the car I've had for just 3 years ,0
the weather on the regular in the bay. a day where work would be perfect ,1
@Somaya_Reece very sweet  I just DM'd you,1
thinking of this problem. i dont know whats going on actually. ,0
"@revdal @fibrefairy I keep dropping (un)subtle hints to @sjrdouglas, but I'm not sure that she's hearing them ",0
@imsoblazedrtnow sorrrry poohh beaaarrr ,0
"Haha funny Nadal is on the trending topics  He's such a great sportsman, Spanish best for sure!!",1
@MASHUPFACTS u listed some great mashup artists there ,1
Good morning  ,1
Cuddling with Sammy before I leave him until Sunday  My baaaby!,0
is off to go and watch jaws 2 in my room so no internet damn ,0
@anniegxxx can't think of him that way any more  or at least I try not to LOL,0
"doing what i do every monday, watch wizards of waverly place until 6 ",1
Loves Her Uncle @CrownEntLindsey Frankie For Get'n Her A Hotpocket! ,1
@sherylpz HAHAH HEY BITCHO!!!  AWW. I KNEW YOU MISSED ME KKX. ,1
"@susanbeebe Yes, these addons can cause problems, been there, done that and removed them again ",1
says its a good thing that my Plurks are connected in Twitter.  http://plurk.com/p/117nfg,1
@iamdiddy  This song makes everybody feel better! http://bit.ly/123Xnb  - Blessings and peace to you - we'll be here -  ,1
"is tired of putting forth soooo much effort, and getting nothing in return. ",0
goodnight world.... goodnight eddplant. ,1
"@GreyEyes No FF for me this week as Im only working half day and no iron  and, Timeonline is due by noon today (Sat shift is on this pay)",0
@StampGarden PRETTY! I hope I win  ,1
needs heLp from a wordpress theme expert  http://plurk.com/p/ywsk3,0
@dannywhitehouse That last message wasn't a dig ,1
My poor doggie just had surgery and he is in alot of pain  but we saved his life.,0
@ChrisKnight - Did you ever decide on your license plate? (and I support your decision to lose weight  and be healthy),1
@SaraGwin a home one?  That works?  More info!! ,1
@IamCROS1 I believe so..see you in a bit ,1
@fhgrl33 also a good one!  Too bad she's done .... for the season... ,0
"Pink and Yellow or Blue and Brown. Can't decide. Or should I got with Purple and Yellow - Lakers colours. Omg, ",0
Waiting for the call.. Nervous.. Anndd I wanna go back 2 sleep. Gotta work tonight ,0
"Oh noes. I just found out why Cons Skate shoes are so hard to find. Financial issues, and bought out by Nike. ",0
Omg i want food! I'm gonna be here forever. ,0
I guess alls well that ends well...I'm still single for the record lol. Leaving Cleveland will be bittersweet to ,0
"@maleghast What can I say? I started early.... and yet started late, as you know ",1
@uhhuh143 Your very welcome. ,1
@mcflymusic say happy birthday nanda to @nanda_marinho please ,0
I'm tryin to play hookie from work but my boss keeps callin my cell!! LOL! ,0
